127.0.0.1 - - [05/Mar/2025:15:54:29 +0900] "GET / HTTP/1.1" 200 18799
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /mng/login HTTP/1.1" 200 3817
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/assets/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/js/plugins/metisMenu.min.js HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 97902
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/js/plugins/respond.js HTTP/1.1" 200 10517
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/js/plugins/dataTables.bootstrap.js HTTP/1.1" 200 9599
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/js/plugins/bootstrap.min.js HTTP/1.1" 200 27731
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/js/plugins/dataTables.tableTools.js HTTP/1.1" 200 87450
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/js/plugins/jquery.MultiFile.js HTTP/1.1" 200 30614
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/js/plugins/bootstrapValidator.min.js HTTP/1.1" 200 111108
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/js/plugins/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/js/plugins/jquery.dataTables.js HTTP/1.1" 200 424288
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:15:36 +0900] "GET /resources/js/plugins/jquery.form.js HTTP/1.1" 200 37109
